SNR_dB,CAR_classical,CAR_DL_SemCom,CAR_LPG,TUP_classical,TUP_DL_SemCom,TUP_LPG,SEP_classical,SEP_DL_SemCom,SEP_LPG,NSC_LPG
-4.8,0.0005815911891364469,0.0022428533804817,0.038480581596550795,0.08048853659887462,0.141839139771995,0.24963004782934411,0.9994184088108635,0.9977571466195183,0.9615194184034492,43.88532297413792
-4.6,0.0006504723902038695,0.002518020462656466,0.04334045750992448,0.08054639680777126,0.14206477677937832,0.25337215228264187,0.9993495276097961,0.9974819795373435,0.9566595424900756,46.0179987592823
-4.4,0.000727505651004351,0.0028268510924185602,0.048782967751308554,0.08061110474684366,0.14231801789578324,0.25756288516850756,0.9992724943489957,0.9971731489075815,0.9512170322486915,48.2837445731893
-4.199999999999999,0.0008136542745648068,0.003173438731786136,0.05486972578252568,0.08068346959063444,0.14260221976006465,0.2622496888525448,0.9991863457254352,0.9968265612682139,0.9451302742174743,50.69529426658416
-4.0,0.0009099950207686442,0.0035623681332166445,0.06166670686251827,0.08076439581744567,0.14292114186923766,0.26748336428413905,0.9990900049792314,0.9964376318667834,0.9383332931374817,53.266856191418746
-3.8,0.0010177313754796745,0.003998772620104295,0.06924397677237046,0.08085489435540293,0.14327899354848553,0.27331786211472525,0.9989822686245203,0.9960012273798957,0.9307560232276295,56.01423029829789
-3.5999999999999996,0.0011382083480021505,0.004488397606044902,0.07767522781407903,0.0809560950123218,0.14368048603695682,0.27980992541684085,0.9988617916519978,0.9955116023939551,0.922324772185921,58.954911955054506
-3.3999999999999995,0.0012729289669830733,0.005037670915797033,0.08703708086004085,0.08106926033226579,0.14413089015095357,0.28701855226223144,0.9987270710330169,0.994962329084203,0.9129629191399592,62.108173741145656
-3.1999999999999993,0.001423572662288221,0.005653780489254446,0.09740811081728026,0.08119580103632211,0.14463610000118865,0.2950042453293058,0.9985764273377118,0.9943462195107455,0.9025918891827197,65.4951145357548
-3.0,0.0015920157392003724,0.006344760058137657,0.10886755417670517,0.08133729322092831,0.1452027032476729,0.30382801671606297,0.9984079842607996,0.9936552399418623,0.8911324458232949,69.13866330383705
-2.8,0.0017803541714976586,0.007119583379493152,0.12149366248317245,0.08149549750405803,0.1458380583711844,0.3135501201120428,0.9982196458285023,0.9928804166205069,0.8785063375168276,73.06352329728153
-2.5999999999999996,0.0019909289615340805,0.007988267585376855,0.13536167582905453,0.08167238032768863,0.14655037942000904,0.324228490388372,0.9980090710384659,0.9920117324146231,0.8646383241709454,77.29604120834904
-2.3999999999999995,0.002226354338271887,0.008961986157937432,0.15054140704920066,0.08187013764414838,0.1473488286495087,0.3359168834278845,0.9977736456617281,0.9910380138420626,0.8494585929507994,81.86398549687594
-2.1999999999999993,0.0024895490881464357,0.010053191955626355,0.16709445113361285,0.08209122123404301,0.14824361740361364,0.3486627273728819,0.9975104509118535,0.9899468080443736,0.8329055488663871,86.79621908046279
-2.0,0.0027837713384257813,0.01127575058978529,0.18507106587988506,0.08233836792427766,0.14924611548362396,0.3625047207275115,0.9972162286615742,0.9887242494102148,0.8149289341201149,92.1222542721865
-1.7999999999999998,0.0031126571379891136,0.012645084269677215,0.20450680846948194,0.08261463199591086,0.15036896910113534,0.3774702425215011,0.9968873428620109,0.9873549157303227,0.7954931915305181,97.87168267910207
-1.5999999999999996,0.0034802632056678364,0.014178325984088688,0.22541905666233553,0.08292342109276099,0.15162622730695274,0.39357267362999837,0.9965197367943321,0.9858216740159114,0.7745809433376645,104.07348001220738
-1.3999999999999995,0.0038911142407551114,0.01589448355232972,0.24780358924405463,0.0832685359622343,0.15303347651291038,0.4108087637179221,0.9961088857592448,0.9841055164476703,0.7521964107559453,110.75519543414939
-1.1999999999999993,0.00435025521303593,0.0178146126374689,0.2716314430741114,0.08365421437895018,0.15460798236272452,0.4291562111670658,0.9956497447869641,0.9821853873625311,0.7283685569258886,117.94204684623797
-1.0,0.004863309069458464,0.01996199724790451,0.2968462968842015,0.08408517961834511,0.1563688377432817,0.44857164860083515,0.9951366909305416,0.9800380027520955,0.7031537031157985,125.65595658372098
-0.7999999999999998,0.005436540309719299,0.022362335535308253,0.3233626472979003,0.08456669386016422,0.15833711513895277,0.4689892384193832,0.9945634596902807,0.9776376644646918,0.6766373527020997,133.91457502975504
-0.5999999999999996,0.006076924891468264,0.025043927801040523,0.3510650330940765,0.08510461690883334,0.16053602079685325,0.49032007548243894,0.9939230751085317,0.9749560721989595,0.6489349669059234,142.7303509053677
-0.39999999999999947,0.006792226924882266,0.028037862521892498,0.37980852406293575,0.0857054706169011,0.16299104726795186,0.5124525635284606,0.9932077730751178,0.9719621374781076,0.6201914759370643,152.1097144167964
-0.1999999999999993,0.0075910826026572556,0.03137819487290342,0.40942061900161364,0.08637650938623209,0.1657301197957808,0.5352538766312425,0.9924089173973427,0.9686218051270966,0.5905793809983864,162.05244108110566
